"","gbifID","datasetKey","occurrenceID","kingdom","phylum","class","order","family","genus","species","infraspecificEpithet","taxonRank","scientificName","verbatimScientificName","verbatimScientificNameAuthorship","countryCode","locality","stateProvince","occurrenceStatus","individualCount","publishingOrgKey","decimalLatitude","decimalLongitude","coordinateUncertaintyInMeters","coordinatePrecision","elevation","elevationAccuracy","depth","depthAccuracy","eventDate","day","month","year","taxonKey","speciesKey","basisOfRecord","institutionCode","collectionCode","catalogNumber","recordNumber","identifiedBy","dateIdentified","license","rightsHolder","recordedBy","typeStatus","establishmentMeans","lastInterpreted","mediaType","issue"
"1",891780206,"50c9509d-22c7-4a22-a47d-8c48425ef4a7","http://www.inaturalist.org/observations/494030","Animalia","Chordata","Amphibia","Caudata","Rhyacotritonidae","Rhyacotriton","Rhyacotriton cascadae",NA,"SPECIES","Rhyacotriton cascadae Good & Wake, 1992","Rhyacotriton cascadae","","US","","Oregon","PRESENT",NA,"28eb1a3f-1c15-4a95-931a-4af90ecb574d",45.587907,-122.082258,27158,NA,NA,NA,NA,NA,"2014-01-04",4,1,2014,2431178,2431178,"HUMAN_OBSERVATION","iNaturalist","Observations","494030","","James Maughn",2014-01-05 04:56:34,"CC_BY_NC_4_0","James Maughn","James Maughn","","",2024-02-23 14:08:43.444,"StillImage","COORDINATE_ROUNDED;CONTINENT_DERIVED_FROM_COORDINATES;TAXON_MATCH_TAXON_ID_IGNORED"
"2",812636061,"8eddc200-f535-4c65-9b4d-f723eafe607e","urn:catalog:PSM:Herp:Herp-09285","Animalia","Chordata","Amphibia","Caudata","Rhyacotritonidae","Rhyacotriton","Rhyacotriton cascadae",NA,"SPECIES","Rhyacotriton cascadae Good & Wake, 1992","Rhyacotriton cascadae","","US","St. Helens, 1 mi W","Washington","PRESENT",NA,"f56c5f80-055c-11d8-b84e-b8a03c50a862",46.344299,-122.549599,2514,NA,NA,NA,NA,NA,"1958-08-09",9,8,1958,2431178,2431178,"PRESERVED_SPECIMEN","PSM","","Herp-09285","","",NA,"CC0_1_0","","","","",2024-01-24 22:05:43.659,"","COORDINATE_ROUNDED;COLLECTION_MATCH_NONE;INSTITUTION_MATCH_FUZZY"
"3",812635823,"8eddc200-f535-4c65-9b4d-f723eafe607e","urn:catalog:PSM:Herp:Herp-09321","Animalia","Chordata","Amphibia","Caudata","Rhyacotritonidae","Rhyacotriton","Rhyacotriton cascadae",NA,"SPECIES","Rhyacotriton cascadae Good & Wake, 1992","Rhyacotriton cascadae","","US","Cascade Locks, 1 mi E; Oxbow Hatchery","Oregon","PRESENT",NA,"f56c5f80-055c-11d8-b84e-b8a03c50a862",45.6698,-121.870003,5426,NA,NA,NA,NA,NA,"1957-06-02",2,6,1957,2431178,2431178,"PRESERVED_SPECIMEN","PSM","","Herp-09321","","",NA,"CC0_1_0","","Johnson, M. L.","","",2024-01-24 22:05:43.571,"","COORDINATE_ROUNDED;COLLECTION_MATCH_NONE;INSTITUTION_MATCH_FUZZY"
"4",812630893,"8eddc200-f535-4c65-9b4d-f723eafe607e","urn:catalog:PSM:Herp:Herp-02757","Animalia","Chordata","Amphibia","Caudata","Rhyacotritonidae","Rhyacotriton","Rhyacotriton cascadae",NA,"SPECIES","Rhyacotriton cascadae Good & Wake, 1992","Rhyacotriton cascadae","","US","Cispus River, 1 mi W Iron Creek","Washington","PRESENT",NA,"f56c5f80-055c-11d8-b84e-b8a03c50a862",46.416199,-122.003403,2512,NA,NA,NA,NA,NA,"1940-06-18",18,6,1940,2431178,2431178,"PRESERVED_SPECIMEN","PSM","","Herp-02757","","",NA,"CC0_1_0","","Brown, W. C.","","",2024-01-24 22:05:32.671,"","COORDINATE_ROUNDED;COLLECTION_MATCH_NONE;INSTITUTION_MATCH_FUZZY"
"5",812630450,"8eddc200-f535-4c65-9b4d-f723eafe607e","urn:catalog:PSM:Herp:Herp-02414","Animalia","Chordata","Amphibia","Caudata","Rhyacotritonidae","Rhyacotriton","Rhyacotriton cascadae",NA,"SPECIES","Rhyacotriton cascadae Good & Wake, 1992","Rhyacotriton cascadae","","US","Stevenson, 2 mi E","Washington","PRESENT",NA,"f56c5f80-055c-11d8-b84e-b8a03c50a862",45.706778,-121.84602,4354,NA,NA,NA,NA,NA,"1938-07-17",17,7,1938,2431178,2431178,"PRESERVED_SPECIMEN","PSM","","Herp-02414","","",NA,"CC0_1_0","","","","",2024-01-24 22:05:32.248,"","COLLECTION_MATCH_NONE;INSTITUTION_MATCH_FUZZY"
"6",812630317,"8eddc200-f535-4c65-9b4d-f723eafe607e","urn:catalog:PSM:Herp:Herp-02216","Animalia","Chordata","Amphibia","Caudata","Rhyacotritonidae","Rhyacotriton","Rhyacotriton cascadae",NA,"SPECIES","Rhyacotriton cascadae Good & Wake, 1992","Rhyacotriton cascadae","","US","Sandy, 7 mi SE, Alder Creek","Oregon","PRESENT",NA,"f56c5f80-055c-11d8-b84e-b8a03c50a862",45.377899,-122.101799,358,NA,NA,NA,NA,NA,"1937-08-16",16,8,1937,2431178,2431178,"PRESERVED_SPECIMEN","PSM","","Herp-02216","","",NA,"CC0_1_0","","Johnson, M. L.; Richardson, H.","","",2024-01-24 22:05:33.187,"","COORDINATE_ROUNDED;COLLECTION_MATCH_NONE;INSTITUTION_MATCH_FUZZY"
"7",812629934,"8eddc200-f535-4c65-9b4d-f723eafe607e","urn:catalog:PSM:Herp:Herp-01590","Animalia","Chordata","Amphibia","Caudata","Rhyacotritonidae","Rhyacotriton","Rhyacotriton cascadae",NA,"SPECIES","Rhyacotriton cascadae Good & Wake, 1992","Rhyacotriton cascadae","","US","Yale, 3 mi East","Washington","PRESENT",NA,"f56c5f80-055c-11d8-b84e-b8a03c50a862",46.02018,-122.325003,4370,NA,NA,NA,NA,NA,"1936-07-12",12,7,1936,2431178,2431178,"PRESERVED_SPECIMEN","PSM","","Herp-01590","","",NA,"CC0_1_0","","","","",2024-01-24 22:05:38.488,"","COLLECTION_MATCH_NONE;INSTITUTION_MATCH_FUZZY"
"8",812629922,"8eddc200-f535-4c65-9b4d-f723eafe607e","urn:catalog:PSM:Herp:Herp-01818","Animalia","Chordata","Amphibia","Caudata","Rhyacotritonidae","Rhyacotriton","Rhyacotriton cascadae",NA,"SPECIES","Rhyacotriton cascadae Good & Wake, 1992","Rhyacotriton cascadae","","US","Spirit Lake","Washington","PRESENT",NA,"f56c5f80-055c-11d8-b84e-b8a03c50a862",46.273201,-122.135101,3213,NA,NA,NA,NA,NA,"1932-10-01",1,10,1932,2431178,2431178,"PRESERVED_SPECIMEN","PSM","","Herp-01818","","",NA,"CC0_1_0","","","","",2024-01-24 22:05:38.616,"","COORDINATE_ROUNDED;COLLECTION_MATCH_NONE;INSTITUTION_MATCH_FUZZY"
"9",812629699,"8eddc200-f535-4c65-9b4d-f723eafe607e","urn:catalog:PSM:Herp:Herp-01571","Animalia","Chordata","Amphibia","Caudata","Rhyacotritonidae","Rhyacotriton","Rhyacotriton cascadae",NA,"SPECIES","Rhyacotriton cascadae Good & Wake, 1992","Rhyacotriton cascadae","","US","Tumtum Mountain, ca 1 mi E","Washington","PRESENT",NA,"f56c5f80-055c-11d8-b84e-b8a03c50a862",45.934601,-122.315201,3022,NA,NA,NA,NA,NA,"1936-07-17",17,7,1936,2431178,2431178,"PRESERVED_SPECIMEN","PSM","","Herp-01571","","",NA,"CC0_1_0","","","","",2024-01-24 22:05:38.497,"","COORDINATE_ROUNDED;COLLECTION_MATCH_NONE;INSTITUTION_MATCH_FUZZY"
"10",543710947,"cece4fc2-1fec-4bb5-a335-7252548e3f0b","urn:catalog:CAS:SUA:4933","Animalia","Chordata","Amphibia","Caudata","Rhyacotritonidae","Rhyacotriton","Rhyacotriton cascadae",NA,"SPECIES","Rhyacotriton cascadae Good & Wake, 1992","Rhyacotriton cascadae","","US","Cascade Locks, Oxbow Salmon Station","Oregon","PRESENT",NA,"66522820-055c-11d8-b84e-b8a03c50a862",45.669839,-121.890635,3256.35,NA,NA,NA,NA,NA,"1939-07-12",12,7,1939,2431178,2431178,"PRESERVED_SPECIMEN","CAS","SUA","4933","","J.V. Vindum",1983-06-01,"CC0_1_0","","S.G. Jewett, Jr.","","",2024-02-26 00:07:42.835,"StillImage","COORDINATE_ROUNDED"
