x,y,species cloglog values
1.0,1.0,0.6208043
2.0,2.0,0.13737656
3.0,3.0,0.3719001
4.0,4.0,0.44602343
5.0,5.0,0.045295577
6.0,6.0,0.63289225
7.0,7.0,0.09380626
8.0,8.0,0.03779862
9.0,9.0,0.21691924
10.0,10.0,0.43845338
11.0,11.0,0.10054957
12.0,12.0,0.07620301
13.0,13.0,0.008012496
14.0,14.0,0.06807401
15.0,15.0,0.067450844
16.0,16.0,1.9147286E-5
17.0,17.0,0.65957385
18.0,18.0,0.49811777
19.0,19.0,0.63436896
20.0,20.0,0.12980042
21.0,21.0,0.2404435
22.0,22.0,0.06683009
23.0,23.0,0.053857658
24.0,24.0,0.08777469
25.0,25.0,0.06232171
26.0,26.0,7.968389E-5
27.0,27.0,0.47884315
28.0,28.0,0.11474272
29.0,29.0,6.885891E-4
30.0,30.0,0.19522981
31.0,31.0,0.04872629
32.0,32.0,0.22806238
33.0,33.0,0.43235248
34.0,34.0,0.70862305
35.0,35.0,0.2918427
36.0,36.0,0.091182254
37.0,37.0,0.18535502
38.0,38.0,0.29433703
39.0,39.0,0.36563012
40.0,40.0,0.7161733
41.0,41.0,0.16706862
42.0,42.0,0.7071257
43.0,43.0,0.80894446
44.0,44.0,0.10380963
45.0,45.0,0.058257844
46.0,46.0,0.04285351
47.0,47.0,0.5360661
48.0,48.0,0.10498077
49.0,49.0,0.6228888
50.0,50.0,2.2296585E-6
51.0,51.0,0.10557239
52.0,52.0,0.46024656
53.0,53.0,0.10359097
54.0,54.0,0.0891964
55.0,55.0,0.11568978
56.0,56.0,0.034995183
57.0,57.0,0.10453261
58.0,58.0,0.5628725
59.0,59.0,0.08619884
60.0,60.0,0.14723848
61.0,61.0,0.06761737
62.0,62.0,0.6030211
63.0,63.0,0.5170613
64.0,64.0,0.5862196
65.0,65.0,0.52733296
66.0,66.0,0.15624596
67.0,67.0,0.2800566
68.0,68.0,0.065389
69.0,69.0,0.0021296653
70.0,70.0,1.7635035E-5
71.0,71.0,0.53672296
72.0,72.0,0.054438114
73.0,73.0,0.1437228
74.0,74.0,0.06913452
75.0,75.0,0.51272416
76.0,76.0,0.2182856
77.0,77.0,0.26821616
78.0,78.0,0.6241753
79.0,79.0,0.23430546
80.0,80.0,0.32094964
81.0,81.0,0.1075027
82.0,82.0,0.13003555
83.0,83.0,0.19857275
84.0,84.0,0.5042298
85.0,85.0,0.11136269
86.0,86.0,0.18782622
87.0,87.0,0.05893071
88.0,88.0,0.10255935
89.0,89.0,0.17847446
90.0,90.0,0.19153069
91.0,91.0,0.118585795
92.0,92.0,0.12718074
93.0,93.0,0.30669215
94.0,94.0,0.6794656
95.0,95.0,0.09260338
96.0,96.0,0.62995124
97.0,97.0,2.53845E-5
98.0,98.0,0.21184237
99.0,99.0,0.831262
100.0,100.0,0.2570497
101.0,101.0,0.062262177
102.0,102.0,1.4978262E-5
103.0,103.0,0.28920045
104.0,104.0,0.19281548
105.0,105.0,0.2477327
106.0,106.0,0.07121455
107.0,107.0,0.20786275
108.0,108.0,0.005878382
109.0,109.0,0.14772257
110.0,110.0,0.53881574
111.0,111.0,0.17677964
112.0,112.0,0.36021748
113.0,113.0,0.25941932
114.0,114.0,0.11633078
115.0,115.0,0.013102902
116.0,116.0,0.7238978
117.0,117.0,0.29314792
118.0,118.0,0.09211574
119.0,119.0,0.39720485
120.0,120.0,0.10271987
121.0,121.0,0.47027057
122.0,122.0,0.20890993
123.0,123.0,0.09421146
124.0,124.0,0.072111696
125.0,125.0,0.42145172
126.0,126.0,0.27082616
127.0,127.0,0.22883534
128.0,128.0,0.22431879
129.0,129.0,0.540355
130.0,130.0,0.1477403
131.0,131.0,0.30760762
132.0,132.0,0.21333279
133.0,133.0,0.22024469
134.0,134.0,0.26168254
135.0,135.0,0.03634299
136.0,136.0,0.25163227
137.0,137.0,0.41723636
138.0,138.0,0.0022827224
139.0,139.0,0.23534821
140.0,140.0,0.3200331
141.0,141.0,0.09959267
142.0,142.0,0.6524191
143.0,143.0,0.09864279
144.0,144.0,0.24468255
145.0,145.0,0.30256024
146.0,146.0,0.1134822
147.0,147.0,0.47808772
148.0,148.0,0.104491144
149.0,149.0,0.38912347
150.0,150.0,0.5994009
151.0,151.0,0.62575215
152.0,152.0,0.07240111
153.0,153.0,0.0851821
154.0,154.0,0.3252789
155.0,155.0,0.044063218
156.0,156.0,0.68610436
157.0,157.0,0.13377573
158.0,158.0,0.6246065
159.0,159.0,0.5494044
160.0,160.0,0.22023517
161.0,161.0,0.20423615
162.0,162.0,0.101194225
163.0,163.0,0.16726643
164.0,164.0,0.024680424
165.0,165.0,0.09511259
166.0,166.0,0.09405593
167.0,167.0,0.15103687
168.0,168.0,0.010509282
169.0,169.0,0.17525978
170.0,170.0,0.16400605
171.0,171.0,0.5662984
172.0,172.0,0.00819326
173.0,173.0,0.8597507
174.0,174.0,0.07174407
175.0,175.0,0.6658971
176.0,176.0,1.4986226E-4
177.0,177.0,0.02792489
178.0,178.0,0.62241256
179.0,179.0,0.26152724
180.0,180.0,0.10591929
181.0,181.0,0.02270659
182.0,182.0,0.020536494
183.0,183.0,0.5758375
184.0,184.0,0.111090906
185.0,185.0,0.36914277
186.0,186.0,0.0024974206
187.0,187.0,0.08493024
188.0,188.0,0.650713
189.0,189.0,0.755979
190.0,190.0,0.25225294
191.0,191.0,0.07396356
192.0,192.0,0.2634912
